Species,Type
Hedgehog,Insectivora
European mole,Insectivora
Common shrew,Insectivora
Pygmy shrew,Insectivora
Water shrew,Insectivora
Lesser white-toothed shrew,Insectivora
Greater white-toothed shrew,Insectivora
European rabbit,Lagomorpha
Brown hare,Lagomorpha
Mountain hare,Lagomorpha
Irish hare,Lagomorpha
Red squirrel,Rodentia
Grey squirrel,Rodentia
Eurasian beaver,Rodentia
Hazel dormouse,Rodentia
Edible dormouse,Rodentia
Bank vole,Rodentia
Skomer vole,Rodentia
Field vole,Rodentia
Common vole,Rodentia
Guernsey vole,Rodentia
Orkney vole,Rodentia
Water vole,Rodentia
Harvest mouse,Rodentia
Wood mouse,Rodentia
Yellow-necked mouse,Rodentia
House mouse,Rodentia
Brown rat,Rodentia
Black rat,Rodentia
Wildcat,Carnivora
Feral cat,Carnivora
Red fox,Carnivora
Badger,Carnivora
Otter,Carnivora
Pine marten,Carnivora
Stoat,Carnivora
Weasel,Carnivora
Polecat,Carnivora
Feral ferret,Carnivora
American mink,Carnivora
Wild boar,Artiodactyla
Red deer,Artiodactyla
Sika deer,Artiodactyla
Fallow deer,Artiodactyla
Roe deer,Artiodactyla
Chinese water deer,Artiodactyla
Reeves’ muntjac deer,Artiodactyla
Feral horse (Exmoor / Dartmoor pony),Perrisodactyla
Greater horseshoe bat,Chiroptera
Lesser horseshoe bat,Chiroptera
Alcathoe bat,Chiroptera
Whiskered bat,Chiroptera
Brandt’s bat,Chiroptera
Bechstein’s bat,Chiroptera
Daubenton’s bat,Chiroptera
Greater mouse-eared bat,Chiroptera
Natterer’s bat,Chiroptera
Serotine bat,Chiroptera
Leisler’s bat,Chiroptera
Noctule bat,Chiroptera
Common pipstrelle bat,Chiroptera
Soprano pipistrelle bat,Chiroptera
Nathusius’ pipistrelle bat,Chiroptera
Barbastelle bat,Chiroptera
Brown long-eared bat,Chiroptera
Grey long-eared bat,Chiroptera
Harbour seal,Pinnipedia
Grey seal,Pinnipedia
Bearded seal,Pinnipedia
Harp seal,Pinnipedia
Hooded seal,Pinnipedia
Ringed seal ,Pinnipedia
Walrus,Pinnipedia
North Atlantic right whale,Cetacea
Bowhead whale,Cetacea
Humpback whale,Cetacea
Blue whale,Cetacea
Fin whale,Cetacea
Sei whale,Cetacea
Minke whale,Cetacea
Northern bottlenose whale,Cetacea
Cuvier’s beaked whale,Cetacea
Sowerby’s beaked whale,Cetacea
Pygmy sperm whale,Cetacea
Dwarf sperm whale,Cetacea
Sperm whale,Cetacea
Beluga,Cetacea
Killer whale or orca,Cetacea
False killer whale,Cetacea
Long-finned pilot whale,Cetacea
Risso’s dolphin,Cetacea
Atlantic white-sided dolphin,Cetacea
White-beaked dolphin,Cetacea
Common dolphin,Cetacea
Striped dolphin,Cetacea
Bottlenose dolphin,Cetacea
Harbour porpoise,Cetacea
Blainville’s beaked whale,Cetacea
Gervais’ beaked whale,Cetacea
True’s beaked whale,Cetacea
Narwhal,Cetacea
Melon-headed whale,Cetacea
Fraser’s dolphin,Cetacea
